"wellcol","plate","area","greenness","num_of_particles","circularity","major_axis_length","minor_axis_length","ferret_number"
"h12",1,6120.2,0.466480605694135,1,0.473840793079762,136.778595640898,73.5842559642226,1.85899829403911
"g12",1,10876,0.52421517332857,1.2,0.408225343058129,152.307293928299,102.387793043803,1.48270890120689
"f12",1,4688.2,0.467550008823551,1,0.428344917212697,103.353536307996,67.0376871969514,1.54204404500179
"e12",1,6638,0.477055691080599,1,0.267967689095235,129.784309714747,100.303111850608,1.3122113815802
"d12",1,8524.2,0.46120830536837,1,0.258437850475918,148.749176567098,103.849023844948,1.43258568712024
"c12",1,7478.6,0.450104010072899,1,0.292188322825887,123.983206417104,101.657488743506,1.22188962802615
"b12",1,6390.8,0.440016220688501,1,0.32056015762179,127.76582317789,86.0648750038304,1.50138162717319
"a12",1,12236,0.476943995994563,1,0.254087789782295,167.909286208772,122.223778563112,1.37391253038961
"h11",1,4420.2,0.445803398717733,1,0.623744461701346,116.338311056355,52.9442018809608,2.19782776645027
"g11",1,6611,0.504772891856686,1,0.401122139607669,156.774599680325,65.0835968511493,2.40915386100945
"f11",1,2417.6,0.461773449922973,1,0.664722449307564,74.1748939986941,45.8373165431601,1.61818152355
"e11",1,5225.4,0.457774262095307,1,0.478597479911575,120.445980116069,68.1893607535978,1.76664474482289
"d11",1,7139.8,0.447352929724042,1,0.321051414391603,148.539982252818,80.4350673751712,1.84671521716717
"c11",1,5403.8,0.414356548237316,1.6,0.496587890346637,102.600981031797,59.6334412452305,1.71914881831206
"b11",1,11658.2,0.466587259146697,2,0.889659214507269,72.6105305986637,69.0235322906255,1.35351203577196
"a11",1,10789.2,0.4652938736654,1.6,0.43901496474875,104.777319846873,92.7873945641899,1.37257634384268
"h10",1,6495.4,0.478604235013683,1,0.397089657691218,148.594076242295,68.2811389538591,2.17695037271067
"g10",1,7633,0.463813461186882,1.8,0.629628947868381,105.718942072206,55.031165928185,1.93237994884305
"f10",1,13138.8,0.516795700428665,1,0.562899341998381,151.019105009123,119.640849075648,1.26233281278759
"e10",1,5913.8,0.473067732354979,1,0.451416006926641,127.768577917859,67.2734062181018,1.89945942723837
"d10",1,7321.8,0.481125781279597,1,0.396500830587963,130.476371159321,89.5391442296222,1.4572075871666
"c10",1,5776.4,0.447309024921608,1,0.440860558540862,123.71036183668,78.0334534216108,1.58541844391375
"b10",1,9689,0.488196603142162,1,0.363102089125606,135.282318488363,106.537643280098,1.26985103715118
"a10",1,15033.6,0.54053033999097,1,0.313320623177265,163.43582644655,152.588028536084,1.0719430611101
"h09",1,7878.2,0.488272817571962,1,0.41847138652173,148.068157063976,84.3251305790604,1.75670153483581
"g09",1,8451,0.484074476726228,1,0.384780676790839,152.342254061568,88.6234999332014,1.71914433897573
"f09",1,8685.2,0.512085724265355,1,0.412862532032139,169.085639447023,77.1456620207975,2.19180124126319
"e09",1,7823.6,0.446762137351647,2,0.699516350492667,93.9990359884981,55.7183043455117,1.69562303560807
"d09",1,7201.4,0.495517214047567,2,0.593753350552282,92.8266522760759,57.5976276123541,1.54330990430146
"c09",1,7913.4,0.482086501735824,2,0.395991607121259,101.171017114984,59.8541486477444,1.64547593257401
"b09",1,9568.8,0.49455727848822,1,0.348134879745726,149.925126475168,95.2024354379727,1.57557322035573
"a09",1,9194.2,0.446224587142673,1.2,0.311555582525616,125.81539616708,102.840446114758,1.27408313482085
"h08",1,7810.2,0.503605332683437,1.2,0.415640214882919,144.817044638874,81.5780413386238,1.7421993888221
"g08",1,7464.8,0.507000153052464,2.8,0.812838256707887,84.3066531004761,35.4918179196724,2.227209179383
"f08",1,9798.8,0.509378646241156,1,0.454112320033712,180.285512076622,86.5487696435695,2.08368619078009
"e08",1,9365,0.485954799896838,2,0.669548402761067,106.628015579021,60.0425970541448,1.78216680352847
"d08",1,9952.2,0.497004207906756,1,0.316796851995738,146.56248168677,118.667581268133,1.23506649681491
