Watershed,Site,Lat,Lon
Pettee Brook,Durham Reservoir,43.14755972,-70.9441286
Pettee Brook,Woodman Road,43.13735529,-70.91917424
Oyster River,Mill Pond,43.1308099,-70.92152623
Oyster River,Upper Mill,43.12248009,-70.92529325
