"wellcol","plate","area","greenness","num_of_particles","circularity","major_axis_length","minor_axis_length","ferret_number"
"h12",1,3185.6,0.455374712412314,1.6,0.799334999819598,64.8418927903699,43.5943895542443,1.44520140176171
"g12",1,3378.2,0.432661136242881,1,0.734389347350615,87.4085454327683,51.9870974637167,1.68155093024117
"f12",1,2683,0.419506498591706,1,0.833357399735673,72.8564453108805,47.1738389458338,1.54449794713258
"e12",1,3727.8,0.412495816713185,1,0.679444134629919,90.5953189476777,57.4399582699294,1.57722906929169
"d12",1,2930,0.355195788986877,1,0.726796436467738,79.3066968025629,49.635515322359,1.59771952002746
"c12",1,3507.2,0.402867430765819,1.2,0.632794930853326,96.6860586600572,43.2516735150422,2.17190831887005
"b12",1,3671.8,0.431194902716633,2,0.475154227321671,78.1233397681072,30.7725313500154,2.68020998582424
"a12",1,5148,0.432313940835065,1.2,0.462706562665879,119.390385338639,57.5823096173754,2.15424360731976
"h11",1,3717,0.455933736759309,1,0.5783794854145,103.826491984286,52.4967486839375,1.97781047120821
"g11",1,4612.4,0.449683516289329,1.2,0.566324491440284,96.1545372078678,63.0649415300113,1.50056789017604
"f11",1,1842.6,0.437328595237818,1,0.853636987131444,57.8638649456819,40.9472775872446,1.4131507387306
"e11",1,3645.6,0.451166096707322,1,0.538220471467074,112.814279203427,47.3135691601368,2.38428747598619
"d11",1,4063.4,0.378222561613725,1,0.679316737560316,92.243633906771,60.3340709037422,1.52893909329716
"c11",1,4055.4,0.35665994611036,1.8,0.652427203216188,82.530269368342,44.1904612215015,1.84865729290859
"b11",1,8383.4,0.452834236979456,1,0.173447435213765,129.021540101185,107.754922350606,1.19939246511804
"a11",1,4515.6,0.421765740944577,1.8,0.595066736697725,94.1471313799295,48.8385408163328,1.82608432408168
"h10",1,2723.4,0.430183883016891,1,0.785328226448255,74.0544263997959,48.893193964926,1.51473088257635
"g10",1,4986.2,0.421323150077951,1,0.662411597891563,107.365948660217,64.1691550794875,1.67310704724307
"f10",1,5181.2,0.429975734994721,1,0.680636396645647,111.43836902602,63.9198030452526,1.7434099706216
"e10",1,2938.8,0.427735405824841,1,0.737365137394728,79.3054535790995,49.9616982300862,1.58752482593182
"d10",1,2992.4,0.416816352402227,1,0.487406603995653,102.969837445859,43.1338971118704,2.38741402153523
"c10",1,2821.8,0.405660497414193,1,0.587740973114834,98.9560225689499,39.9066023049962,2.47980734889782
"b10",1,3576.6,0.431005334208002,2,0.781416880326245,62.2271203302502,36.0791817401717,1.64062176840438
"a10",1,7561.4,0.431995533390081,1.6,0.46276808246031,122.703377559853,58.645615926743,2.11868871552483
"h09",1,3709.2,0.427517360228639,1,0.76881884029706,89.2683187573843,54.8802217006176,1.62661814212348
"g09",1,3634.4,0.430326409773019,1,0.750666583982138,91.945527196822,52.3194470144564,1.7573989355722
"f09",1,4140.6,0.415628143699753,1,0.744919857413082,96.8353427067937,56.7217926506589,1.70711235720119
"e09",1,4313,0.412453499403892,1,0.655819699924802,101.166809678446,60.0210219362665,1.68561219562955
"d09",1,3738,0.441499532479778,2,0.78832982770779,62.9078458734708,37.3377516857852,1.62467843881786
"c09",1,4527.6,0.436469185140293,4.2,0.806132681314971,40.2348663654911,22.5501046524223,1.70184437658847
"b09",1,2679.6,0.377548036181363,1,0.760088176168261,72.3126299935444,48.5120419921279,1.49042604062579
"a09",1,6401,0.456659503081638,3,0.540544340365265,65.2923843778897,57.1557636797533,1.6005803339659
"h08",1,2939.2,0.461665579222841,1,0.716556124065112,82.5809634647647,48.0057367648212,1.72046091043908
